Group,Subject,Requirement,PSE
ConChow,Sub01,5,27.77777778
ConChow,Sub02,5,33.57142857
ConChow,Sub03,5,57.27272727
ConChow,Sub04,5,18
ConChow,Sub05,5,17.17948718
ConChow,Sub06,5,16.66666667
ConDox,Sub07,5,33.5483871
ConDox,Sub08,5,47.44186047
ConDox,Sub09,5,19.62962963
ConDox,Sub10,5,27.5
ConDox,Sub11,5,17.5862069
ConDox,Sub12,5,42.85714286
ConDox,Sub13,5,31.32075472
ConDox,Sub14,5,69.09090909
D2OEChow,Sub15,5,0
D2OEChow,Sub16,5,11.21212121
D2OEChow,Sub17,5,2.454545455
D2OEChow,Sub18,5,0
D2OEChow,Sub19,5,0
D2OEChow,Sub20,5,0
D2OEChow,Sub21,5,0
D2OEChow,Sub22,5,14.44444444
D2OEDox,Sub23,5,28.8
D2OEDox,Sub24,5,5
D2OEDox,Sub25,5,31.51515152
D2OEDox,Sub26,5,17.71428571
D2OEDox,Sub27,5,29.09090909
D2OEDox,Sub28,5,32.27272727
D2OEDox,Sub29,5,16
D2OEDox,Sub30,5,19.0625
ConChow,Sub01,10,24.28571429
ConChow,Sub02,10,49.72972973
ConChow,Sub03,10,97.5
ConChow,Sub04,10,33.68421053
ConChow,Sub05,10,38.18181818
ConChow,Sub06,10,29
ConDox,Sub07,10,40
ConDox,Sub08,10,74.66666667
ConDox,Sub09,10,41.39393939
ConDox,Sub10,10,69.09090909
ConDox,Sub11,10,30.69767442
ConDox,Sub12,10,37.39130435
ConDox,Sub13,10,46.14054054
ConDox,Sub14,10,62.10526316
D2OEChow,Sub15,10,0
D2OEChow,Sub16,10,11.85185185
D2OEChow,Sub17,10,11.25
D2OEChow,Sub18,10,7.571428571
D2OEChow,Sub19,10,4.851851852
D2OEChow,Sub20,10,14.28571429
D2OEChow,Sub21,10,6.114864865
D2OEChow,Sub22,10,12.6744186
D2OEDox,Sub23,10,8.68852459
D2OEDox,Sub24,10,8.076923077
D2OEDox,Sub25,10,62.5
D2OEDox,Sub26,10,33.33333333
D2OEDox,Sub27,10,33.125
D2OEDox,Sub28,10,22.4
D2OEDox,Sub29,10,16.81818182
D2OEDox,Sub30,10,38.57142857
ConChow,Sub01,20,60
ConChow,Sub02,20,117.715959
ConChow,Sub03,20,157.4193548
ConChow,Sub04,20,55.43859649
ConChow,Sub05,20,54.90848586
ConChow,Sub06,20,58.18181818
ConDox,Sub07,20,66.66666667
ConDox,Sub08,20,96.19631902
ConDox,Sub09,20,62.66666667
ConDox,Sub10,20,
ConDox,Sub11,20,87.27272727
ConDox,Sub12,20,97.77777778
ConDox,Sub13,20,160
ConDox,Sub14,20,115.6626506
D2OEChow,Sub15,20,10
D2OEChow,Sub16,20,4.75
D2OEChow,Sub17,20,13.63636364
D2OEChow,Sub18,20,4.283018868
D2OEChow,Sub19,20,6.984126984
D2OEChow,Sub20,20,14.61538462
D2OEChow,Sub21,20,10.49881235
D2OEChow,Sub22,20,16.77640604
D2OEDox,Sub23,20,119.0243902
D2OEDox,Sub24,20,11.93548387
D2OEDox,Sub25,20,138.2510823
D2OEDox,Sub26,20,29.62962963
D2OEDox,Sub27,20,32.82051282
D2OEDox,Sub28,20,31.2195122
D2OEDox,Sub29,20,19.67741935
D2OEDox,Sub30,20,NaN
